Year,spread_€/t,ETS_price_€/tCO2,SAF_LCA_reduction,SAF_Share_%,Extra_cost_€,Avoided_CO2_Mt_LCA,Cost_per_tCO2_€/t
2030,600,50,0.6,8.0,1518553568.6461716,6.4860254118446505,234.12698412698467
2030,600,50,0.75,8.0,1518553568.6461716,8.107531764805799,187.30158730158803
2030,600,50,0.9,8.0,1518553568.6461716,9.729038117766976,156.08465608465642
2030,600,100,0.6,8.0,978051450.9924469,6.4860254118446505,150.79365079365073
2030,600,100,0.75,8.0,978051450.9924469,8.107531764805799,120.63492063492079
2030,600,100,0.9,8.0,978051450.9924469,9.729038117766976,100.52910052910048
2030,600,150,0.6,8.0,437549333.3387222,6.4860254118446505,67.46031746031682
2030,600,150,0.75,8.0,437549333.3387222,8.107531764805799,53.96825396825354
2030,600,150,0.9,8.0,437549333.3387222,9.729038117766976,44.97354497354454
2030,900,50,0.6,8.0,2548081411.7961197,6.4860254118446505,392.85714285714397
2030,900,50,0.75,8.0,2548081411.7961197,8.107531764805799,314.2857142857157
2030,900,50,0.9,8.0,2548081411.7961197,9.729038117766976,261.9047619047626
2030,900,100,0.6,8.0,2007579294.142395,6.4860254118446505,309.52380952381003
2030,900,100,0.75,8.0,2007579294.142395,8.107531764805799,247.61904761904844
2030,900,100,0.9,8.0,2007579294.142395,9.729038117766976,206.34920634920667
2030,900,150,0.6,8.0,1467077176.4886703,6.4860254118446505,226.19047619047612
2030,900,150,0.75,8.0,1467077176.4886703,8.107531764805799,180.9523809523812
2030,900,150,0.9,8.0,1467077176.4886703,9.729038117766976,150.79365079365073
2030,1200,50,0.6,8.0,3577609254.946068,6.4860254118446505,551.5873015873033
2030,1200,50,0.75,8.0,3577609254.946068,8.107531764805799,441.2698412698433
2030,1200,50,0.9,8.0,3577609254.946068,9.729038117766976,367.7248677248688
2030,1200,100,0.6,8.0,3037107137.292343,6.4860254118446505,468.25396825396933
2030,1200,100,0.75,8.0,3037107137.292343,8.107531764805799,374.60317460317606
2030,1200,100,0.9,8.0,3037107137.292343,9.729038117766976,312.16931216931283
2030,1200,150,0.6,8.0,2496605019.6386185,6.4860254118446505,384.9206349206354
2030,1200,150,0.75,8.0,2496605019.6386185,8.107531764805799,307.9365079365088
2030,1200,150,0.9,8.0,2496605019.6386185,9.729038117766976,256.6137566137569
2040,600,50,0.6,42.666666666666664,9492179104.206772,40.54286668237472,234.12698412698393
2040,600,50,0.75,42.666666666666664,9492179104.206772,50.6785833529684,187.30158730158715
2040,600,50,0.9,42.666666666666664,9492179104.206772,60.81430002356208,156.08465608465596
2040,600,100,0.6,42.666666666666664,6113606880.675545,40.54286668237472,150.79365079365058
2040,600,100,0.75,42.666666666666664,6113606880.675545,50.6785833529684,120.63492063492046
2040,600,100,0.9,42.666666666666664,6113606880.675545,60.81430002356208,100.52910052910039
2040,600,150,0.6,42.666666666666664,2735034657.1443176,40.54286668237472,67.46031746031724
2040,600,150,0.75,42.666666666666664,2735034657.1443176,50.6785833529684,53.96825396825379
2040,600,150,0.9,42.666666666666664,2735034657.1443176,60.81430002356208,44.97354497354483
2040,900,50,0.6,42.666666666666664,15927554768.075775,40.54286668237472,392.85714285714266
2040,900,50,0.75,42.666666666666664,15927554768.075775,50.6785833529684,314.2857142857141
2040,900,50,0.9,42.666666666666664,15927554768.075775,60.81430002356208,261.90476190476176
2040,900,100,0.6,42.666666666666664,12548982544.544548,40.54286668237472,309.5238095238093
2040,900,100,0.75,42.666666666666664,12548982544.544548,50.6785833529684,247.61904761904745
2040,900,100,0.9,42.666666666666664,12548982544.544548,60.81430002356208,206.3492063492062
2040,900,150,0.6,42.666666666666664,9170410321.01332,40.54286668237472,226.19047619047595
2040,900,150,0.75,42.666666666666664,9170410321.01332,50.6785833529684,180.95238095238076
2040,900,150,0.9,42.666666666666664,9170410321.01332,60.81430002356208,150.79365079365064
2040,1200,50,0.6,42.666666666666664,22362930431.94478,40.54286668237472,551.5873015873013
2040,1200,50,0.75,42.666666666666664,22362930431.94478,50.6785833529684,441.2698412698411
2040,1200,50,0.9,42.666666666666664,22362930431.94478,60.81430002356208,367.7248677248676
2040,1200,100,0.6,42.666666666666664,18984358208.41355,40.54286668237472,468.253968253968
2040,1200,100,0.75,42.666666666666664,18984358208.41355,50.6785833529684,374.6031746031744
2040,1200,100,0.9,42.666666666666664,18984358208.41355,60.81430002356208,312.16931216931204
2040,1200,150,0.6,42.666666666666664,15605785984.882324,40.54286668237472,384.92063492063465
2040,1200,150,0.75,42.666666666666664,15605785984.882324,50.6785833529684,307.9365079365078
2040,1200,150,0.9,42.666666666666664,15605785984.882324,60.81430002356208,256.6137566137565
2050,600,50,0.6,80.0,20859518322.549408,89.09489181834661,234.12698412698418
2050,600,50,0.75,80.0,20859518322.549408,111.36861477293328,187.3015873015873
2050,600,50,0.9,80.0,20859518322.549408,133.64233772751993,156.0846560846561
2050,600,100,0.6,80.0,13434944004.353836,89.09489181834661,150.7936507936506
2050,600,100,0.75,80.0,13434944004.353836,111.36861477293328,120.63492063492045
2050,600,100,0.9,80.0,13434944004.353836,133.64233772751993,100.52910052910039
2050,600,150,0.6,80.0,6010369686.158295,89.09489181834661,67.46031746031737
2050,600,150,0.75,80.0,6010369686.158295,111.36861477293328,53.96825396825388
2050,600,150,0.9,80.0,6010369686.158295,133.64233772751993,44.973544973544904
2050,900,50,0.6,80.0,35001564642.921875,89.09489181834661,392.8571428571428
2050,900,50,0.75,80.0,35001564642.921875,111.36861477293328,314.28571428571416
2050,900,50,0.9,80.0,35001564642.921875,133.64233772751993,261.9047619047618
2050,900,100,0.6,80.0,27576990324.72632,89.09489181834661,309.5238095238094
2050,900,100,0.75,80.0,27576990324.72632,111.36861477293328,247.61904761904745
2050,900,100,0.9,80.0,27576990324.72632,133.64233772751993,206.34920634920624
2050,900,150,0.6,80.0,20152416006.530777,89.09489181834661,226.19047619047615
2050,900,150,0.75,80.0,20152416006.530777,111.36861477293328,180.95238095238088
2050,900,150,0.9,80.0,20152416006.530777,133.64233772751993,150.79365079365076
2050,1200,50,0.6,80.0,49143610963.29436,89.09489181834661,551.5873015873016
2050,1200,50,0.75,80.0,49143610963.29436,111.36861477293328,441.26984126984115
2050,1200,50,0.9,80.0,49143610963.29436,133.64233772751993,367.72486772486764
2050,1200,100,0.6,80.0,41719036645.0988,89.09489181834661,468.2539682539682
2050,1200,100,0.75,80.0,41719036645.0988,111.36861477293328,374.6031746031744
2050,1200,100,0.9,80.0,41719036645.0988,133.64233772751993,312.1693121693121
2050,1200,150,0.6,80.0,34294462326.90326,89.09489181834661,384.92063492063494
2050,1200,150,0.75,80.0,34294462326.90326,111.36861477293328,307.9365079365079
2050,1200,150,0.9,80.0,34294462326.90326,133.64233772751993,256.6137566137566
